fips,long_name,state_fips,county_fips
08013,Boulder County CO,08,013
13059,Clarke County GA,13,059
17019,Champaign County IL,17,019
17167,Sangamon County IL,17,167
18097,Marion County IN,18,097
19153,Polk County IA,19,153
26161,Washtenaw County MI,26,161
27123,Ramsey County MN,27,123
31109,Lancaster County NE,31,109
37183,Wake County NC,37,183
39049,Franklin County OH,39,049
41039,Lane County OR,41,039
48397,Rockwall County TX,48,397
55009,Brown County WI,55,009
55025,Dane County WI,55,025
55079,Milwaukee County WI,55,079
